year,month,row_count,total_sales,mean_sales,zero_sales_rate,promotion_sum,mean_onpromotion,promoted_row_rate,active_store_count
2013,1,1674,0.0,0.0,1.0,0,0.0,0.0,54
2013,2,1512,0.0,0.0,1.0,0,0.0,0.0,54
2013,3,1674,0.0,0.0,1.0,0,0.0,0.0,54
2013,4,1620,0.0,0.0,1.0,0,0.0,0.0,54
2013,5,1674,0.0,0.0,1.0,0,0.0,0.0,54
2013,6,1620,0.0,0.0,1.0,0,0.0,0.0,54
2013,7,1674,0.0,0.0,1.0,0,0.0,0.0,54
2013,8,1674,0.0,0.0,1.0,0,0.0,0.0,54
2013,9,1620,0.0,0.0,1.0,0,0.0,0.0,54
2013,10,1674,0.0,0.0,1.0,0,0.0,0.0,54
2013,11,1620,0.0,0.0,1.0,0,0.0,0.0,54
2013,12,1620,0.0,0.0,1.0,0,0.0,0.0,54
2014,1,1674,1861.0,1.1117085,0.7759856630824373,0,0.0,0.0,54
2014,2,1512,0.0,0.0,1.0,0,0.0,0.0,54
2014,3,1674,2235.0,1.3351254,0.7759856630824373,0,0.0,0.0,54
2014,4,1620,0.0,0.0,1.0,0,0.0,0.0,54
2014,5,1674,0.0,0.0,1.0,0,0.0,0.0,54
2014,6,1620,0.0,0.0,1.0,0,0.0,0.0,54
2014,7,1674,1958.0,1.1696535,0.6182795698924731,0,0.0,0.0,54
2014,8,1674,0.0,0.0,1.0,0,0.0,0.0,54
2014,9,1620,18367.0,11.337654,0.587037037037037,153,0.09444444444444444,0.050617283950617285,54
2014,10,1674,3026.0,1.8076464,0.6624850657108722,1,0.0005973715651135006,0.0005973715651135006,54
2014,11,1620,2546.0,1.571605,0.6574074074074074,0,0.0,0.0,54
2014,12,1620,1992.0,1.2296296,0.695679012345679,1,0.0006172839506172839,0.0006172839506172839,54
2015,1,1674,0.0,0.0,1.0,0,0.0,0.0,54
2015,2,1512,0.0,0.0,1.0,0,0.0,0.0,54
2015,3,1674,0.0,0.0,1.0,0,0.0,0.0,54
2015,4,1620,0.0,0.0,1.0,0,0.0,0.0,54
2015,5,1674,0.0,0.0,1.0,0,0.0,0.0,54
2015,6,1620,1994.0,1.2308642,0.641358024691358,2,0.0012345679012345679,0.0012345679012345679,54
2015,7,1674,1545.0,0.92293906,0.6833930704898447,1,0.0005973715651135006,0.0005973715651135006,54
2015,8,1674,16148.0,9.646356,0.557347670250896,350,0.20908004778972522,0.12066905615292713,54
2015,9,1620,15719.0,9.703087,0.5851851851851851,404,0.24938271604938272,0.09938271604938272,54
2015,10,1674,2927.0,1.7485065,0.5913978494623656,3,0.0017921146953405018,0.0017921146953405018,54
2015,11,1620,2612.0,1.6123457,0.5814814814814815,3,0.001851851851851852,0.001851851851851852,54
2015,12,1620,2392.0,1.4765432,0.5839506172839506,1,0.0006172839506172839,0.0006172839506172839,54
2016,1,1674,3108.0,1.8566308,0.5818399044205496,4,0.0023894862604540022,0.0011947431302270011,54
2016,2,1566,2815.0,1.7975734,0.5759897828863346,3,0.0019157088122605363,0.0019157088122605363,54
2016,3,1674,3218.0,1.9223417,0.5824372759856631,2,0.0011947431302270011,0.0011947431302270011,54
2016,4,1620,8950.0,5.5246916,0.40987654320987654,873,0.5388888888888889,0.16913580246913582,54
2016,5,1674,10427.0,6.228793,0.3912783751493429,1193,0.7126642771804063,0.23237753882915174,54
2016,6,1620,2461.0,1.5191358,0.5425925925925926,23,0.014197530864197531,0.009876543209876543,54
2016,7,1674,1746.0,1.0430107,0.6272401433691757,0,0.0,0.0,54
2016,8,1674,17214.0,10.2831545,0.43608124253285546,2271,1.3566308243727598,0.3154121863799283,54
2016,9,1620,23556.0,14.540741,0.47716049382716047,1679,1.0364197530864196,0.2191358024691358,54
2016,10,1674,3128.0,1.8685783,0.5567502986857825,70,0.04181600955794504,0.022700119474313024,54
2016,11,1620,2543.0,1.569753,0.5864197530864198,4,0.0024691358024691358,0.0024691358024691358,54
2016,12,1620,2050.0,1.2654321,0.6271604938271605,0,0.0,0.0,54
2017,1,1674,2875.0,1.7174432,0.551373954599761,1,0.0005973715651135006,0.0005973715651135006,54
2017,2,1512,1789.0,1.1832011,0.6441798941798942,5,0.0033068783068783067,0.0033068783068783067,54
2017,3,1674,8246.0,4.9259257,0.527479091995221,648,0.3870967741935484,0.13620071684587814,54
2017,4,1620,28689.0,17.709259,0.30493827160493825,3037,1.8746913580246913,0.5469135802469136,54
2017,5,1674,9658.0,5.7694144,0.34707287933094383,1630,0.973715651135006,0.34229390681003585,54
2017,6,1620,2555.0,1.5771605,0.5641975308641975,0,0.0,0.0,54
2017,7,1674,8797.0,5.255078,0.5782556750298686,290,0.17323775388291518,0.03345280764635603,54
2017,8,810,50169.0,61.93704,0.48641975308641977,1913,2.3617283950617285,0.29259259259259257,54
