store_nbr,city,state,store_type,cluster,fold3_row_count,prior_row_count,fold3_rmsle,prior_rmsle,rmsle_delta,msle_delta,positive_msle_delta_contribution,fold3_error_share,fold3_row_share,prior_row_share,new_in_target_fold,fold3_actual_zero_rate,fold3_mean_actual_sales,fold3_mean_predicted_sales,fold3_mean_signed_error,fold3_mean_onpromotion
47,Quito,Pichincha,A,14,16,32,2.7358610951758955,0.721499460651159,2.0143616345247364,6.964374460377136,0.1289698974143914,0.18460601833793422,0.018518518518518517,0.018518518518518517,False,0.0,523.4375,32.604855373840316,-490.83264462615966,12.0
44,Quito,Pichincha,A,5,16,32,2.665395621572087,0.5918972922232607,2.0734983293488263,6.753991414954424,0.1250739150917486,0.17521897198032232,0.018518518518518517,0.018518518518518517,False,0.0,393.75,25.889929119708246,-367.86007088029174,12.0
48,Quito,Pichincha,A,14,16,32,2.3888246769760486,0.4873574442550171,1.9014672327210316,5.468966058858942,0.10127714923812856,0.14074284364930595,0.018518518518518517,0.018518518518518517,False,0.0,394.375,31.009835295559185,-363.3651647044408,10.625
50,Ambato,Tungurahua,A,14,16,32,2.1854625644481493,0.6096072986069323,1.575855265841217,4.404625562089439,0.08156714003869332,0.11779978869942553,0.018518518518518517,0.018518518518518517,False,0.0,390.125,45.75637113882264,-344.3686288611774,11.875
9,Quito,Pichincha,B,6,16,32,1.5023607251421927,0.6794953344544271,0.8228653906877655,1.7953738389044411,0.03324766368341558,0.0556680759943268,0.018518518518518517,0.018518518518518517,False,0.0,147.5,32.335411898645695,-115.1645881013543,8.25
38,Loja,Loja,D,4,16,32,1.2440503748861131,0.18278755580657954,1.0612628190795337,1.514250044696535,0.02804166749438028,0.03817101434518446,0.018518518518518517,0.018518518518518517,False,0.625,4.9375,0.20890745337166217,-4.728592546628338,0.0
20,Quito,Pichincha,B,6,16,32,1.0468082113767627,0.49794253956576584,0.5488656718109969,0.8478606586966128,0.015701123309196534,0.0270266370496869,0.018518518518518517,0.018518518518518517,False,0.0,58.875,19.040188651699935,-39.834811348300065,5.5625
8,Quito,Pichincha,D,8,16,32,0.733580141376922,0.3806436294504091,0.3529365119265129,0.39325025118140444,0.007282412058914897,0.01327250508036502,0.018518518518518517,0.018518518518518517,False,0.4375,1.5625,0.4037171091928335,-1.1587828908071665,0.0
51,Guayaquil,Guayas,A,17,16,32,0.8479885067635378,0.584243466676739,0.2637450400867988,0.3777440792486007,0.006995260726825939,0.01773526573926227,0.018518518518518517,0.018518518518518517,False,0.25,3.875,4.396970607442628,0.5219706074426285,0.0
17,Quito,Pichincha,C,12,16,32,0.5887544161259355,0.2359642566329585,0.352790159492977,0.2909526320994465,0.005388011705545305,0.008549212723601181,0.018518518518518517,0.018518518518518517,False,0.5,11.5625,4.95698607601099,-6.60551392398901,2.0
10,Quito,Pichincha,C,15,16,32,0.49567393550310535,0.09696079383990751,0.3987131416631978,0.23629125479507163,0.004375763977686512,0.006059683386084196,0.018518518518518517,0.018518518518518517,False,0.6875,2.4375,1.1103433108304517,-1.3271566891695483,0.6875
43,Esmeraldas,Esmeraldas,E,10,16,32,0.728407501052928,0.5744480954210759,0.15395940563185206,0.20058687325726965,0.0037145717269864748,0.013085990086267077,0.018518518518518517,0.018518518518518517,False,0.25,2.3125,2.392454653802425,0.07995465380242485,0.0
19,Guaranda,Bolivar,C,15,16,32,0.47131110833378076,0.1691266405610804,0.30218446777270036,0.19353034029133995,0.0035838951905803693,0.005478644485578551,0.018518518518518517,0.018518518518518517,False,0.4375,4.3125,3.789188005461068,-0.5233119945389324,1.625
15,Ibarra,Imbabura,C,15,16,32,0.4571772127316387,0.16433799494359666,0.292839217788042,0.18200402725898843,0.0033704449492405262,0.005154979221993737,0.018518518518518517,0.018518518518518517,False,0.5625,4.3125,3.270951473369464,-1.041548526630536,1.375
36,Libertad,Guayas,E,10,16,32,0.6200421182228844,0.4550463174709168,0.16499580075196757,0.17738507732647887,0.0032849088393792384,0.00948200435707764,0.018518518518518517,0.018518518518518517,False,0.4375,1.125,0.4424904715770924,-0.6825095284229076,0.0
52,Manta,Manabi,A,11,16,32,0.695197334707959,0.5784707108935914,0.1167266238143676,0.14867097082331304,0.0027531661263576488,0.011919937132218051,0.018518518518518517,0.018518518518518517,False,0.0,6.0,3.4327027457866923,-2.5672972542133077,0.0
3,Quito,Pichincha,D,8,16,32,0.5109274778259281,0.369669671454598,0.14125780637133006,0.12439122160421381,0.0023035411408187743,0.006438375285517642,0.018518518518518517,0.018518518518518517,False,0.375,1.0,1.1655979328732722,0.1655979328732723,0.0
13,Latacunga,Cotopaxi,C,15,16,32,0.3730729163566303,0.15150548010107498,0.22156743625555533,0.11622949041818403,0.002152397970707112,0.003432774000399622,0.018518518518518517,0.018518518518518517,False,0.5625,4.5625,4.016295796594734,-0.5462042034052661,1.75
31,Babahoyo,Los Rios,B,10,16,32,0.6446007097858472,0.5682726344122175,0.07632807537362962,0.0925762880346161,0.0017143757043447424,0.010248004957067272,0.018518518518518517,0.018518518518518517,False,0.375,1.8125,1.6949920425262603,-0.11750795747373978,0.0625
12,Latacunga,Cotopaxi,C,15,16,32,0.38051572434871866,0.26397391863145653,0.11654180571726214,0.0751099867589832,0.001390925680721911,0.0035711079977923227,0.018518518518518517,0.018518518518518517,False,0.4375,5.0,4.36753739673702,-0.6324626032629805,1.875
26,Guayaquil,Guayas,D,10,16,32,0.5057430300449798,0.428631040667033,0.07711198937794678,0.07205144341577363,0.0013342859891809931,0.006308376139901444,0.018518518518518517,0.018518518518518517,False,0.5,0.8125,0.44654963422908167,-0.3659503657709184,0.0
42,Cuenca,Azuay,D,2,16,32,0.3061457174736763,0.17203828876347518,0.13410742871020112,0.06412802752680716,0.0011875560653112436,0.0023116077689034147,0.018518518518518517,0.018518518518518517,False,0.75,0.25,0.2522375522907988,0.0022375522907987985,0.0
7,Quito,Pichincha,D,8,16,32,0.37488983534852593,0.30287894554789896,0.07201088980062698,0.04880673299143774,0.0009038283887303286,0.003466291630458248,0.018518518518518517,0.018518518518518517,False,0.625,0.4375,0.31784649430924616,-0.11965350569075385,0.0
14,Riobamba,Chimborazo,C,7,16,32,0.35367963904211125,0.2912074045828646,0.062472234459246656,0.040287534589069904,0.0007460654553531463,0.0030851613738262004,0.018518518518518517,0.018518518518518517,False,0.4375,3.125,2.7605747063977795,-0.3644252936022206,1.5
30,Guayaquil,Guayas,C,3,16,32,0.2501285341688708,0.17921776761795355,0.07091076655091727,0.030445275375505183,0.0005638013958426885,0.0015430650831683012,0.018518518518518517,0.018518518518518517,False,0.875,0.125,0.18965695514359882,0.06465695514359882,0.0
